	gene symbol	chromosome	gene start
3328	SCN2B	11	118162806
3329	OR8G3P	11	124211707
3330	HTATIP2	11	20363685
3331	PLAAT5	11	63461404
3332	PPP6R3	11	68460731
3333	C11orf71	11	114391443
3334	RBM7	11	114400030
3335	BMAL1	11	13276652
3336	CADM1	11	115169218
3337	UCP2	11	73974672
3338	PPFIA1	11	70270690
3339	TECTA	11	121101243
3340	SNX19	11	130866250
3341	FAM168A	11	73400487
3342	CABP4	11	67452406
3343	NCAM1	11	112961247
3344	VEGFB	11	64234584
3345	MS4A12	11	60492778
3346	MS4A13	11	60515392
3347	MS4A4A	11	60185657
3348	MMP10	11	102770502
3349	KAT5	11	65711996
3350	RNASEH2C	11	65714005
3351	AP5B1	11	65773898
3352	OVOL1	11	65787063
3353	CFL1	11	65823022
3354	SNX32	11	65833834
3355	MUS81	11	65857126
3356	CTSW	11	65879809
3357	MTNR1B	11	92969651
3358	SLC36A4	11	93144174
3359	FAT3	11	92224818
3360	MMP1	11	102789401
3361	MPPED2	11	30384493
3362	PATE1	11	125746279
3363	PATE2	11	125776113
3364	PATE3	11	125788127
3365	PATE4	11	125833316
3366	HYLS1	11	125883614
3367	PUS3	11	125893485
3368	DDX25	11	125903348
3369	RPUSD4	11	126202096
3370	WEE1	11	9573670
3371	TMEM109	11	60914158
3372	TMEM132A	11	60924460
3373	CD6	11	60971680
3374	SLC15A3	11	60937060
3375	ART5	11	3638512
3376	ART1	11	3645128
3377	CHRNA10	11	3665587
3378	PGAP2	11	3797724
3379	RHOG	11	3826978
3380	RRM1	11	4094707
3381	TEAD1	11	12674421
3382	CTTN	11	70398404
3383	FAM181B	11	82729940
3384	PRCP	11	82822936
3385	DDIAS	11	82899975
3386	RAB30	11	82973133
3387	SCGB1C1	11	193078
3388	SIRT3	11	215030
3389	NLRP6	11	278407
3390	PGGHG	11	289126
3391	IFITM5	11	298200
3392	B4GALNT4	11	369499
3393	PKP3	11	392614
3394	SIGIRR	11	405716
3395	ANO9	11	417933
3396	P2RY2	11	73218281
3397	P2RY6	11	73264498
3399	IFITM1	11	310041
3400	SCN3B	11	123629187
3401	ZNF202	11	123723914
3402	TMEM126B	11	85628573
3403	TMEM126A	11	85647967
3404	CCDC89	11	85683848
3405	IFITM3	11	319676
3406	KCTD14	11	78015715
3407	NDUFC2-KCTD14	11	78016971
3408	THRSP	11	78063861
3409	NDUFC2	11	78068297
3410	RRP8	11	6595072
3411	ILK	11	6603708
3412	MRPL17	11	6680385
3413	DCHS1	11	6621330
3414	ALG8	11	78095244
3415	LRRC32	11	76657524
3416	TSKU	11	76782251
3417	ACER3	11	76860859
3418	B3GNT6	11	77034398
3419	CAPN5	11	77066961
3420	OMP	11	77102840
3421	C2CD3	11	74012718
3422	LRTOMT	11	72080331
3423	CCDC82	11	96349241
3424	JRKL	11	96389989
3425	TMEM45B	11	129815848
3426	PRDM10	11	129899706
3427	ST14	11	130159782
3428	CLP1	11	57648188
3429	AKIP1	11	8911139
3430	C11orf16	11	8920076
3431	TMEM9B	11	8947202
3432	SCUBE2	11	9019476
3433	DENND5A	11	9138825
3434	TMEM41B	11	9280654
3435	IPO7	11	9384652
3436	CD5	11	61102489
3437	VPS37C	11	61130257
3438	PGA3	11	61203307
3439	PGA5	11	61241175
3440	DDB1	11	61299451
3441	TKFC	11	61333220
3442	CYB561A3	11	61348754
3443	CPSF7	11	61402641
3445	SDHAF2	11	61430042
3446	PPP1R32	11	61481120
3447	LRRC10B	11	61508749
3448	TUT1	11	62575045
3449	MTA2	11	62593214
3450	EML3	11	62602218
3451	ROM1	11	62611722
3452	B3GAT3	11	62615296
3453	GANAB	11	62624826
3454	INTS5	11	62646848
3456	C11orf98	11	62662817
3457	CSKMT	11	62665309
3458	UQCC3	11	62670273
3459	UBXN1	11	62676498
3460	LRRN4CL	11	62686406
3461	HNRNPUL2-BSCL2	11	62690275
3462	GNG3	11	62707676
3463	HNRNPUL2	11	62712630
3464	DLAT	11	112025408
3465	CHRM1	11	62908679
3466	IFTAP	11	36594369
3467	PIH1D2	11	112063218
3468	ARAP1	11	72685069
3469	PLAAT3	11	63573195
3470	TP53AIP1	11	128934731
3471	WDR74	11	62832342
3472	DEUP1	11	93329971
3473	MARK2	11	63838928
3474	MRGPRX3	11	18120955
3475	OR5AN1	11	59358895
3476	OR51L1	11	4994851
3477	OR8J1	11	56354291
3478	OR8D4	11	123902167
3479	OR4S2	11	55648327
3480	OR4C6	11	55662201
3481	OR8H2	11	56103687
3482	OR4D9	11	59511368
3483	PSMC3	11	47418769
3484	OR52N5	11	5776165
3485	OR56A4	11	5999445
3486	OR52A5	11	5128776
3487	OR8D1	11	124302831
3488	OR5B3	11	58402464
3489	MAP6	11	75586918
3490	OR52A1	11	5146824
3491	OR5A2	11	59416969
3492	OR10G7	11	124036013
3493	OR52N1	11	5786471
3494	OR5B2	11	58421238
3495	OR5M3	11	56469274
3496	OR8B8	11	124437445
3497	STARD10	11	72754729
3498	CASP4	11	104942866
3499	CASP5	11	104994235
3500	CENATAC	11	118998138
3501	RPS25	11	119015712
3502	TRAPPC4	11	119018763
3503	C2CD2L	11	119102198
3504	HINFP	11	119121580
3505	ABCG4	11	119149052
3506	PDZD3	11	119185457
3507	MCAM	11	119308529
3508	GRK2	11	67266473
3509	ANKRD13D	11	67289300
3510	SSH3	11	67303478
3511	RAD9A	11	67317871
3512	PITPNM1	11	67491768
3513	CDK2AP2	11	67506497
3514	CABP2	11	67518912
3515	GSTP1	11	67583742
3516	NDUFV1	11	67605653
3517	NUDT8	11	67627938
3518	ACY3	11	67642555
3519	SLC22A6	11	62936385
3520	SLC22A8	11	62989154
3521	SLC22A9	11	63369785
3522	TRIM5	11	5663195
3523	ARFIP2	11	6474683
3525	TIMM10B	11	6481501
3526	TPP1	11	6612768
3527	OR10A4	11	6876625
3528	FADS2	11	61792980
3529	TRMT112	11	64316460
3530	CREBZF	11	85657742
3531	OR9G1	11	56699095
3532	OR4D10	11	59473315
3533	NCR3LG1	11	17351800
3534	ZBTB16	11	114059041
3535	USH1C	11	17493895
3536	OTOG	11	17547259
3537	OLFML1	11	7485388
3538	PPFIBP2	11	7513298
3539	CYB5R2	11	7665100
3540	BUD13	11	116748170
3541	ZPR1	11	116773799
3542	APOA5	11	116789367
3543	APOA4	11	116820700
3544	APOC3	11	116829706
3545	APOA1	11	116835751
3546	SIK3	11	116843402
3547	OR56A3	11	5938751
3548	OR51M1	11	5383812
3549	OR51I2	11	5449323
3550	BSCL2	11	62689289
3551	OR52K2	11	4449295
3552	OR52K1	11	4482646
3553	CCDC87	11	66590176
3554	CCS	11	66593153
3555	RBM14	11	66616626
3556	RBM14-RBM4	11	66616626
3557	RBM4	11	66638667
3558	RBM4B	11	66664998
3559	ARHGAP32	11	128965060
3560	ANO5	11	21782659
3561	OR52M1	11	4545191
3562	OR5M1	11	56609236
3563	OR51F2	11	4821321
3564	OR1S1	11	58212720
3565	OR8B3	11	124395534
3566	OR8B2	11	124382394
3567	OR10A3	11	7937171
3568	OR10A2	11	6863057
3569	OR5A1	11	59436469
3570	OR51G2	11	4912588
3571	OR51A7	11	4903783
3572	OR52E4	11	5880629
3573	OR5T1	11	56274154
3574	KCNJ11	11	17365172
3575	OR6A2	11	6791736
3576	OR51D1	11	4637477
3577	OR51E1	11	4643420
3578	OR2AG2	11	6765626
3579	OR10G8	11	124026798
3580	AIP	11	67468174
3581	OR51A4	11	4942831
3582	NADSYN1	11	71453109
3583	KRTAP5-7	11	71527267
3584	KRTAP5-8	11	71538025
3585	KRTAP5-9	11	71548420
3586	KRTAP5-10	11	71565563
3587	LRRC56	11	537527
3588	OR8J3	11	56134721
3589	ABCC8	11	17392498
3590	THAP12	11	76349898
3591	GVQW3	11	76381303
3593	CTNND1	11	57753243
3594	OR52I2	11	4581743
3595	OR51E2	11	4680171
3596	OR10G4	11	124012997
3597	TSG101	11	18468336
3598	UEVLD	11	18529609
3599	SPTY2D1	11	18606403
3600	CDKN1C	11	2883213
3601	ALKBH3	11	43880811
3602	ACCSL	11	44047981
3603	ACCS	11	44065925
3604	ALX4	11	44260440
3605	EXT2	11	44095648
3606	FAM111A	11	59142748
3607	SPTBN2	11	66682497
3608	RPL27A	11	8682788
3609	MMP3	11	102835801
3610	MMP12	11	102862736
3611	DCUN1D5	11	103050686
3612	DYNC2H1	11	103109410
3613	PTDSS2	11	448268
3614	APIP	11	34853094
3615	PDHX	11	34915829
3616	SYT13	11	45240302
3617	PIDD1	11	799179
3618	BACE1	11	117285232
3619	RSF1	11	77660009
3620	MS4A6A	11	60172015
3621	ADAMTS15	11	130448645
3622	OVCH2	11	7689437
3623	TMEM80	11	695591
3624	OR10A5	11	6845683
3625	OR4D5	11	123939617
3626	OR5D18	11	55819630
3627	OR8K1	11	56346039
3628	OR8I2	11	56093308
3629	OR2D3	11	6921002
3630	OR5AR1	11	56663686
3631	OR4A16	11	55343201
3632	OR6Q1	11	58030953
3633	HTR3A	11	113975075
3634	OR8G5	11	124256376
3635	PGA4	11	61222347
3636	OR9Q2	11	58189070
3637	OR5AS1	11	56027654
3638	OR2AG1	11	6783020
3639	OR52N4	11	5754243
3640	CHEK1	11	125625163
3641	OR8G1	11	124241095
3642	OR4C15	11	55554307
3643	OR51T1	11	4881819
3644	OR2D2	11	6891574
3645	OR8D2	11	124319262
3646	OR5M10	11	56576774
3647	OR6T1	11	123942867
3648	OR6X1	11	123753580
3649	OR8B12	11	124539635
3650	OR8B4	11	124423942
3651	OR5M11	11	56542340
3652	OR5M8	11	56490435
3653	OR6M1	11	123805408
3654	IRAG1	11	10573091
3655	OR4C11	11	55602360
3656	OR9I1	11	58116742
3657	TBX10	11	67631303
3658	OR56A1	11	6019336
3659	OR5B21	11	58506807
3660	OR10AG1	11	55965755
3661	OR51I1	11	5440570
3662	OR51B2	11	5323359
3663	OR4C5	11	48365485
3664	OR52H1	11	5544489
3665	OR5T2	11	56231282
3666	CCDC73	11	32602721
3667	OR5AP2	11	56641489
3668	OR4D6	11	59456961
3669	RIC8A	11	207708
3670	DPAGT1	11	119096025
3671	CHRM4	11	46383789
3672	ARHGAP20	11	110577042
3673	DCDC1	11	30830369
3674	NTM	11	131370478
3675	NFRKB	11	129863636
3676	GDPD4	11	77216558
3677	AMBRA1	11	46396414
3678	TBCEL	11	121024072
3679	DKK3	11	11956207
3680	TPH1	11	18017555
3681	GRM5	11	88504576
3682	MS4A6E	11	60327255
3683	FLRT1	11	64035931
3684	TMEM218	11	125094389
3685	SOX6	11	15966449
3686	OR52N2	11	5808924
3687	SLCO2B1	11	75100563
3688	TPBGL	11	75240774
3689	ARRB1	11	75260122
3690	KLHL35	11	75422394
3691	CDON	11	125955796
3692	RPS13	11	17074388
3693	PIK3C2A	11	17077730
3694	DNAJC4	11	64230278
3695	MED19	11	57703710
3696	TTC36	11	118527472
3697	TMEM25	11	118531041
3698	IFT46	11	118544528
3699	SLC22A24	11	63079940
3700	CD3E	11	118304730
3701	KMT2A	11	118436456
3702	PHF21A	11	45929319
3703	SMTNL1	11	57537595
3704	OR52I1	11	4593750
3705	MMP26	11	4704784
3706	OR51S1	11	4848237
3707	MEN1	11	64803510
3708	GLYATL2	11	58834065
3709	ZNRD2	11	65570460
3710	FAM89B	11	65572349
3711	EHBP1L1	11	65576046
3712	KCNK7	11	65592836
3713	MAP3K11	11	65597756
3714	PCNX3	11	65615776
3715	SIPA1	11	65638101
3716	MS4A4E	11	60200270
3717	LTBP3	11	65538559
3718	OR5P2	11	7795974
3719	FADD	11	70203296
3720	VSIG10L2	11	125946044
3721	ANO1	11	69985907
3722	FOLR3	11	72114869
3723	OR4C3	11	48324920
3724	PCSK7	11	117204337
3725	DDX6	11	118747763
3726	AGBL2	11	47659591
3727	ARCN1	11	118572390
3728	HIKESHI	11	86302211
3729	VWCE	11	61258286
3730	NUMA1	11	72002864
3731	BIRC2	11	102347211
3732	PGR	11	101029624
3733	GRAMD1B	11	123358428
3734	MMP13	11	102942995
3735	EPS8L2	11	694438
3736	KRTAP5-4	11	1620958
3737	KRTAP5-11	11	71581855
3738	ODF3	11	196761
3739	PSMD13	11	236966
3740	LDHAL6A	11	18455824
3741	TRIM3	11	6448613
3742	SELENOH	11	57741491
3743	MDK	11	46380756
3744	TNNI2	11	1838981
3745	SCYL1	11	65525077
3746	PHLDB1	11	118606440
3747	WNT11	11	76186325
3748	FOLR2	11	72216601
3749	P2RX3	11	57338352
3750	INPPL1	11	72223701
3751	CD44	11	35138882
3752	OR8H1	11	56288462
3753	MYBPC3	11	47331406
3754	MYO7A	11	77128246
3755	HPX	11	6431049
3756	CNTN5	11	99020949
3757	NAV2	11	19350724
3758	NUCB2	11	17208153
3759	PANX1	11	94128841
3760	GPR83	11	94377316
3761	DPP3	11	66480013
3762	C11orf91	11	33698261
3763	FBXO3	11	33740939
3764	OR10A6	11	7924592
3765	OR5B12	11	58438994
3766	OR51V1	11	5199735
3767	OR8K3	11	56315144
3768	OR9G4	11	56741223
3769	AMPD3	11	10308313
3770	BET1L	11	167784
3771	GAS2	11	22625509
3772	H2AX	11	119093874
3773	APLNR	11	57233577
3774	HTR3B	11	113904796
3775	IFITM2	11	303655
3776	ANAPC15	11	72106378
3777	LRRC51	11	72080337
3778	OR5P3	11	7824818
3779	ZP1	11	60867542
3780	HPS5	11	18278668
3781	GTF2H1	11	18322295
3782	SAA1	11	18266260
3783	POU2AF1	11	111352255
3784	LAYN	11	111540280
3785	SIK2	11	111602449
3786	BTG4	11	111467526
3787	HOATZ	11	111514778
3788	TMEM86A	11	18693122
3789	IGSF22	11	18704312
3790	PTPN5	11	18727928
3791	MRGPRX2	11	19054455
3792	MRGPRX1	11	18933499
3793	JAM3	11	134069071
3794	VPS26B	11	134224671
3795	THYN1	11	134248279
3796	ACAD8	11	134253548
3797	ATM	11	108223044
3798	GLB1L3	11	134274245
3799	OR5T3	11	56252254
3800	OR52E5	11	5893208
3801	DEAF1	11	644233
3802	SHANK2	11	70467854
3803	IZUMO1R	11	94304580
3804	NCAPD3	11	134150113
3805	AP2A2	11	924881
3806	DHCR7	11	71428193
3807	FOXRED1	11	126269024
3808	TSPAN4	11	842812
3809	TAF10	11	6606294
3810	TMEM216	11	61392393
3811	DENND2B	11	8693351
3812	SBF2	11	9776776
3813	ASCL3	11	8937578
3814	OR51F1	11	4768979
3815	VPS11	11	119067818
3816	POU2AF2	11	111245725
3817	POU2AF3	11	111298546
3818	DDX10	11	108665058
3819	RNF26	11	119334527
3820	C1QTNF5	11	119338942
3821	MFRP	11	119338942
3822	USP2	11	119355215
3823	THY1	11	119415476
3824	CCDC153	11	119190250
3825	MYEOV	11	69294151
3826	CCND1	11	69641156
3827	LTO1	11	69653076
3828	FGF19	11	69698238
3829	FGF4	11	69771022
3830	CXCR5	11	118883892
3831	BCL9L	11	118893875
3832	UPK2	11	118925164
3833	FOXR1	11	118971712
3834	HMBS	11	119084866
3835	SLC22A25	11	63158437
3836	CELF1	11	47465933
3837	SMIM38	11	69155478
3838	MS4A1	11	60455846
3839	NLRP10	11	7957537
3840	GLYATL1	11	58905398
3841	SMIM35	11	118003634
3843	TMEM138	11	61361964
3844	LMO1	11	8224309
3845	STK33	11	8391868
3846	CARNS1	11	67414968
3847	ANKRD42	11	83193712
3848	PCF11	11	83156988
3849	BTBD18	11	57743514
3850	SPTY2D1OS	11	18588781
3851	SYT8	11	1828307
3852	LBHD1	11	62662817
3853	CARD16	11	105041326
3854	CWF19L2	11	107326360
3855	PAX6	11	31784779
3856	CCDC83	11	85855101
3857	SYTL2	11	85694224
3858	NUP160	11	47778087
3859	HYOU1	11	119044188
3860	KCTD21	11	78171249
3861	USP35	11	78188812
3862	GAB2	11	78215293
3863	ATP5MG	11	118401346
3864	NARS2	11	78435620
3865	EMSY	11	76444923
3866	INS-IGF2	11	2132538
3867	INS	11	2159779
3868	TH	11	2163929
3869	ASCL2	11	2268498
3870	C11orf21	11	2295628
3871	TSPAN32	11	2301997
3872	DGKZ	11	46332905
3873	CD3D	11	118339075
3874	CD3G	11	118344344
3876	CASP1	11	105025397
3877	CLPB	11	72285495
3878	NXPE2	11	114678527
3879	NXPE1	11	114518934
3880	ARL2-SNX15	11	65014182
3881	SNX15	11	65027439
3882	SAC3D1	11	65040901
3883	NAALADL1	11	65044818
3884	CDCA5	11	65066300
3885	ZFPL1	11	65084210
3886	TMEM262	11	65084979
3887	VPS51	11	65089324
3888	TM7SF2	11	65111845
3889	ZNHIT2	11	65116403
3890	FAU	11	65120630
3891	SYVN1	11	65121780
3892	MRPL49	11	65122183
3893	CAPN1	11	65180566
3894	TRIM64B	11	89870438
3895	TSSC4	11	2400488
3896	TRPM5	11	2404515
3897	TRIM49D1	11	89911111
3898	TRIM49D2	11	89924064
3899	TRIM49C	11	90031106
3900	UBTFL1	11	90085950
3901	TRIM64	11	89966037
3902	FXYD2	11	117800844
3903	FXYD6-FXYD2	11	117820163
3904	FXYD6	11	117836976
3905	IL10RA	11	117986370
3906	CAVIN3	11	6318946
3907	SMPD1	11	6390440
3908	DNHD1	11	6497260
3909	NRIP3	11	8965682
3910	C11orf58	11	16613132
3911	KCNK4	11	64291302
3912	C11orf97	11	94512461
3913	PIWIL4	11	94543840
3914	FUT4	11	94543921
3915	SPDYC	11	65170233
3916	XNDC1N-ZNF705EP-ALG1L9P	11	71804997
3917	INTS4	11	77874418
3918	ZW10	11	113733187
3919	CLDN25	11	113779796
3920	NECTIN1	11	119623408
3921	FLI1	11	128686535
3922	USP28	11	113797874
3923	OR5AK3P	11	56971050
3924	OR5AK2	11	56988914
3925	MOB2	11	1469457
3926	KRTAP5-5	11	1629775
3927	CWC15	11	94962620
3928	KDM4D	11	94973709
3929	KDM4E	11	95025258
3930	SRSF8	11	95066919
3931	ENDOD1	11	95089846
3932	SESN3	11	95165513
3933	KDM4F	11	95049422
3934	TRAF6	11	36483769
3935	RAG1	11	36510372
3936	RAG2	11	36575574
3937	SLC22A10	11	63268022
3938	CHST1	11	45647689
3939	SLC35C1	11	45804072
3940	C11orf80	11	66744451
3941	RCE1	11	66842835
3942	PC	11	66848417
3943	LRFN4	11	66856647
3944	C11orf86	11	66975277
3945	SLC37A4	11	119023751
3946	TRIM49B	11	49027501
3947	TRIM64C	11	49053714
3949	CDC42EP2	11	65314866
3950	SLC25A45	11	65375192
3951	FRMD8	11	65386621
3952	RELA	11	65653599
3953	RNH1	11	494512
3954	ALDH3B1	11	68008578
3955	NDUFS8	11	68030617
3956	CHKA	11	68052859
3957	C11orf24	11	68261338
3958	LRP5	11	68312591
3959	APLP2	11	130068147
3960	ZBTB44	11	130226677
3961	ADAMTS8	11	130404923
3962	MRE11	11	94415570
3963	ANKRD49	11	94493979
3964	IRF7	11	612553
3965	TRIM51G	11	48975498
3966	GPR137	11	64270062
3967	ALKBH8	11	107502727
3968	TCIRG1	11	68039025
3969	PRDM11	11	45095806
3970	CCDC90B	11	83259081
3971	PLEKHA7	11	16777297
3972	PTPRJ	11	47980425
3973	OR4B1	11	48216810
3974	OR4X2	11	48245104
3975	OR4X1	11	48263861
3976	FERMT3	11	64205926
3977	STIM1	11	3854527
3978	TOMT	11	72105924
3979	OR52E8	11	5856749
3980	TRIM22	11	5689610
3981	AAMDC	11	77821109
3982	CD81	11	2376177
3983	RIC3	11	8106056
3984	UNC93B1	11	67991100
3985	XNDC1N	11	71865504
3986	IL18BP	11	71998613
3987	ALDH3B2	11	67662155
3988	OR51C1P	11	4690423
3989	OR10D3	11	124183345
3990	OR4A15	11	55367974
3991	OOSP3	11	59878782
3992	TSGA10IP	11	65945480
3993	OR56B2P	11	5761153
3994	OR5D3P	11	55723776
3995	OR1S2	11	58203204
3996	OR51B5	11	5303444
3997	OR10S1	11	123976661
3998	PRR33	11	1888078
3999	OOSP1	11	59938432
4000	OOSP4A	11	59964033
4001	RASSF10	11	13009316
4002	PACSIN3	11	47177522
4003	DDB2	11	47214465
4004	ACP2	11	47239302
4005	NR1H3	11	47248300
4006	ARFGAP2	11	47164299
4007	CBL	11	119206298
4008	SLC3A2	11	62856004
4009	TIRAP	11	126282497
4010	KMT5B	11	68154863
4011	HSD17B12	11	43680680
4012	C11orf96	11	43942637
4013	TIGD3	11	65354751
4014	CASP12	11	104885718
4015	BTBD10	11	13388008
4016	PTH	11	13492054
4017	FAR1	11	13668668
4018	TMPRSS13	11	117900641
4019	DPF2	11	65333843
4020	RNF169	11	74748849
4021	SPCS2	11	74949261
4022	NEU3	11	74988279
4023	MSANTD4	11	105995623
4024	KBTBD3	11	106051098
4025	AASDHPPT	11	106075501
4026	NAP1L4	11	2944431
4027	NRGN	11	124739942
4028	VSIG2	11	124747474
4029	ESAM	11	124752583
4030	MSANTD2	11	124766498
4031	ROBO3	11	124865432
4032	ROBO4	11	124883691
4033	CCDC15	11	124954121
4034	HEPACAM	11	124919205
4035	API5	11	43311963
4036	TTC17	11	43358920
4037	OR52P1	11	5726502
4038	TCP11L1	11	33039417
4039	CSTF3	11	33077188
4040	HIPK3	11	33256672
4041	KIAA1549L	11	33376108
4042	LMO2	11	33858576
4043	CAPRIN1	11	34051731
4044	NAT10	11	34105617
4045	OR8G2P	11	124224732
4046	BLID	11	122115340
4047	NRXN2	11	64606174
4049	OR52B2	11	6169355
4050	OR52W1	11	6199224
4051	C11orf42	11	6205557
4052	FHIP1B	11	6211345
4053	CNGA4	11	6234765
4054	CCKBR	11	6259806
4055	APBB1	11	6395125
4056	CHRDL2	11	74696429
4057	XRRA1	11	74807739
4058	DGAT2	11	75759512
4059	TRIM66	11	8612037
4060	CYP2R1	11	14877440
4061	CALCA	11	14966622
4062	EIF4G2	11	10797050
4063	OR4A47	11	48488793
4064	ETS1	11	128458761
4065	CD59	11	33703010
4066	IGF2	11	2129112
4068	DLG2	11	83455012
4069	EXPH5	11	108505435
4070	POGLUT3	11	108472112
4071	POLA2	11	65261913
4072	MPZL3	11	118226690
4073	LDHC	11	18412318
4074	LDHA	11	18394560
4075	TNNT3	11	1919703
4076	SF1	11	64764606
4077	ME3	11	86441108
4078	NLRX1	11	119166568
4079	MS4A8	11	60699585
4080	MS4A18	11	60724720
4081	MS4A15	11	60756867
4082	MS4A10	11	60785333
4083	HEPN1	11	124919250
4084	SLC1A2	11	35251205
4085	PAMR1	11	35431823
4086	MADD	11	47269161
4087	TEX54	11	62832321
4088	NUP98	11	3671083
4089	MICAL2	11	12094008
4090	OPCML	11	132414977
4091	GRIA4	11	105609535
4092	HARBI1	11	46602861
4093	ATG13	11	46617527
4094	ARHGAP1	11	46677080
4095	ZNF408	11	46701030
4096	F2	11	46719196
4097	CKAP5	11	46743048
4098	LRP4	11	46856717
4099	PICALM	11	85957175
4100	EED	11	86201212
4101	PRSS23	11	86791059
4102	FZD4	11	86945679
4103	PRRG4	11	32829927
4104	QSER1	11	32892811
4105	DEPDC7	11	33015876
4106	OTUB1	11	63985853
4107	HRAS	11	532242
4108	C12orf4	12	4487735
4109	SLC2A3	12	7919230
4110	KCNA5	12	5043879
4111	MFAP5	12	8637346
4112	CLEC4E	12	8533305
4113	RIMKLB	12	8681600
4114	ETV6	12	11649674
4115	CLEC1A	12	10069554
4116	CLEC9A	12	10030678
4117	LRP6	12	12116025
4118	GDF3	12	7689784
4119	GABARAPL1	12	10212458
4120	KLRC4-KLRK1	12	10372353
4121	KLRD1	12	10226058
4122	MAGOHB	12	10604193
4123	OLR1	12	10158301
4124	CLEC4D	12	8509475
4125	YBX3	12	10699089
4126	PTPRO	12	15322257
4127	APOBEC1	12	7649400
4128	CLEC7A	12	10116777
4129	MANSC1	12	12326056
4131	PRB2	12	11391540
4132	A2ML1	12	8822621
4133	STYK1	12	10618923
4134	BCAT1	12	24810024
4135	KLRK1	12	10372353
4136	STK38L	12	27243968
4137	SLC15A5	12	16188485
4138	GYS2	12	21536107
4139	BORCS5	12	12357078
4140	PRB4	12	11307077
4141	MGST1	12	16347142
4142	CLEC6A	12	8455962
4144	DPPA3	12	7711433
4146	TAS2R42	12	11185993
4147	SYT10	12	33374238
4148	EPS8	12	15620134
4149	PRICKLE1	12	42456757
4150	PARP11	12	3791047
4151	CRACR2A	12	3606633
4152	DERA	12	15911302
4153	BCL2L14	12	12049844
4154	PCED1B	12	47079603
4155	B4GALNT3	12	459939
4156	SLC38A4	12	46764761
4157	ETFBKMT	12	31647160
4158	AMN1	12	31671142
4159	NANOGNB	12	7765216
4160	STRAP	12	15882387
4161	ENDOU	12	47709734
4162	H3-5	12	31791185
4163	INTS13	12	26905181
4164	SPRYD3	12	53064316
4165	PPP1R1A	12	54575387
4166	TMEM117	12	43835967
4167	TEX49	12	48727435
4168	SLC2A13	12	39755025
4169	OR10A7	12	55221025
4170	C12orf40	12	39626167
4171	NANOG	12	7787794
4172	SLC38A1	12	46183063
4173	ALG10B	12	38316762
4174	COX14	12	50112082
4175	CCNT1	12	48688458
4176	SLC38A2	12	46358188
4177	LACRT	12	54630811
4178	NTF3	12	5432108
4179	IPO8	12	30628988
4180	GPD1	12	50103982
4181	NCKAP5L	12	49791146
4182	SHMT2	12	57229573
4183	GLS2	12	56470944
4184	DCD	12	54644589
4185	RPAP3	12	47661249
4186	KRT76	12	52768155
4187	CPNE8	12	38646822
4188	AQP5	12	49961872
4189	CELA1	12	51328442
4190	PFKM	12	48105139
4191	SMAGP	12	51244558
4192	RESF1	12	31959370
4193	PDZRN4	12	41188320
4194	MED21	12	27022546
4195	CERS5	12	50129289
4196	THAP2	12	71664301
4197	SLC16A7	12	59596029
4199	RBMS2	12	56521820
4200	SMARCD1	12	50085200
4201	CTDSP2	12	57819927
4202	ATP23	12	57906039
4203	PPP1R12A	12	79773563
4204	ITGB7	12	53191323
4205	TMEM19	12	71686082
4206	ITGA5	12	54395261
4207	ACSS3	12	80936414
4208	RACGAP1	12	49976923
4209	IGFBP6	12	53097436
4210	KRT2	12	52644558
4211	PAWR	12	79574979
4212	PPM1H	12	62643994
4213	FAIM2	12	49866896
4214	TMBIM6	12	49707725
4215	BIN2	12	51281038
4216	BEST3	12	69643360
4217	GALNT6	12	51351247
4218	BTG1	12	92140278
4219	CPSF6	12	69239569
4220	LRRIQ1	12	85036314
4221	PTPRR	12	70638073
4222	RARG	12	53210567
4223	LYZ	12	69348381
4224	NAV3	12	77324641
4225	SLC35E3	12	68746125
4226	SPIC	12	101475336
4227	FAM186A	12	50326230
4228	ALX1	12	85280220
4229	CCER1	12	90905622
4231	KRT1	12	52674736
4232	CHST11	12	104455295
4233	DIP2B	12	50504985
4234	USP15	12	62260338
4235	BCDIN3D	12	49836043
4236	TPH2	12	71938845
4237	CCDC59	12	82223681
4238	SLC4A8	12	51391317
4239	CAND1	12	67269358
4240	ALDH1L2	12	105019784
4241	RAPGEF3	12	47734363
4242	NUP107	12	68686951
4243	SOAT2	12	53103486
4244	DUSP6	12	89347235
4245	METTL25	12	82358528
4246	ELK3	12	96194375
4247	ANO4	12	100717526
4248	FGD6	12	95076749
4249	MYBPC1	12	101568353
4250	CDK17	12	96278261
4251	BLTP3B	12	100028455
4252	CMKLR1	12	108288044
4253	WASHC3	12	102012840
4254	ATXN7L3B	12	74537835
4255	GNPTAB	12	101745499
4256	HAL	12	95972662
4257	ALDH2	12	111766887
4258	KRT77	12	52689626
4259	GAS2L3	12	100573683
4260	TM7SF3	12	26971579
4261	CCT2	12	69585426
4262	TMTC2	12	82686880
4263	APPL2	12	105173297
4264	TMCC3	12	94567122
4265	MAP1LC3B2	12	116548105
4266	GXYLT1	12	42081845
4267	CALCOCO1	12	53708517
4268	RAB21	12	71754863
4269	CCDC38	12	95867048
4270	NXPH4	12	57216794
4271	SH2B3	12	111405923
4272	ZNF740	12	53180704
4273	NR1H4	12	100473708
4274	TMEM263	12	106955719
4275	OSBPL8	12	76351797
